front,back
"For violations listed under Penalty a), b), f), or g), what is the consequence?

<i>Rule 1 | Section 11 – Uniform & Equipment | Penalty a/b/f/g</i>",The offending player shall be removed from the game until the illegal equipment is replaced or the score sheet is corrected.
"What is the yardage penalty and removal requirement for Penalty c violations?

<i>Rule 1 | Section 11 – Uniform & Equipment | Penalty c</i>","Loss of 5 yards from the point where the ball would have been put into play, if no other foul had occurred (or added to the penalty for any other foul). The offending player shall be removed from the game until the illegal equipment is replaced; immediate substitution will be made but the game shall not be delayed. If more than 1 player offends on the same play, only 1 L5 is applied for that play (and subsequent plays are penalized similarly—L5 on each play where 1 or more players offend)."
"What is the consequence for Penalty d) and e) violations when more than one player offends on the same play?

<i>Rule 1 | Section 11 – Uniform & Equipment | Penalty d/e</i>","The offending player shall be removed from the game until the illegal material, substance or gloves have been removed. Immediate substitution will be made but the game shall not be delayed. If more than one player offends on the same play, only 1 penalty L10 will be applied for that play; fouls on subsequent plays are penalized the same way—L10 on each play where 1 or more players offend."
"What helmet and facemask requirement must be met before a player can wear them?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 2(a) – Helmets and facemasks</i>",Only helmets and facemasks approved by the National Operating Committee on Safety in Athletic Equipment (NOCSAE) shall be worn by players.
"When are visors legal, and are there any medical exceptions?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 2(b) – Visors</i>","All visors must be clear, not tinted. No medical exceptions are allowed."
"Under what condition must a player wear the helmet while the play is in progress?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 2(c) – Helmet during play</i>",A player shall be required to wear the helmet while in bounds and shall not voluntarily remove it while the play is in progress.
"If a player’s helmet involuntarily comes off during the play (except due to a foul), what must they do and for how long?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 2(e) – Helmet involuntarily comes off</i>",They shall be required to leave the game for 3 plays.
"What must a player do if they lose their helmet, and what is the penalty?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 2(f) – Helmet lost</i>",The player must stop participating in the play. Penalty: L10 PBD or PBH.
"How should contact be ruled if a player who has lost their helmet is hit?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 2(g) – Helmetless opponent</i>",Hitting a player who has lost their helmet is to be ruled Unnecessary Roughness.
"When is it illegal for a player to participate regarding mouthguards?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 3 – Mouthguard position</i>",It shall be illegal for a player to participate in the game unless the mouthguard is being worn in the proper position by the player.
"What are the consequences for mouthguard violations on the 1st infraction vs. 2nd and subsequent infractions?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 3 – Mouthguard penalties</i>",1st infraction: Referee only clearly warns the offending player that the mouthguard must be in proper position. 2nd & subsequent: L5 from the point where the ball would have been put in play if no foul had occurred; player removed until properly equipped; immediate substitution allowed.
"What footwear types are acceptable for playing surfaces under Article 4?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 4 – Footwear accepted</i>",A cleated shoe meeting the specifications is accepted; turf or running shoes are also acceptable.
"How many cleats per sole are required, and what is the minimum cleat tip diameter?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 4(i) – Cleat measurements</i>","Minimum of 7 cleats per sole, with a minimum cleat tip diameter of 3/16 inch (4.8 mm)."
"What limits apply to additional cleats’ tip diameter and to maximum cleat length?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 4(ii)-(iii) – Cleat size limits</i>","Additional cleats may be of lesser tip diameter, provided the maximum length is 1/2 inch (12.7 mm). Maximum cleat length is 1/2 inch (12.7 mm)."
"Which type of cleat is illegal here?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 4(iv) – Illegal cleats</i>",A cleat made of metal or with a metal tip is illegal.
"What is the penalty and game action if a player is using illegal footwear?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 4 Penalty</i>","L5 from the point where the ball would have been put into play if no other foul had occurred (or added to the penalty for any other foul). If more than 1 player offends on the same play, only 1 L5 is applied for that play. The offending player shall be removed until the illegal equipment is replaced; immediate substitution will be made, but the game shall not be delayed."
"What must the head coach (or designated representative) certify to the umpire before the game?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 5 – Coach’s certification</i>","That all players: (a) have been informed of mandatory equipment and what is illegal, (b) have been provided mandatory equipment, (c) have been instructed how to wear the mandatory equipment during the game, and (d) have been instructed to notify the coaching staff when equipment becomes illegal during the game."
"What must teams do with regard to player registration before the start of the game?

<i>Rule 1 | Section 12: Players and Substitutes | Article 1 – Registration</i>",All players must be registered by name and number with the scorer prior to the start of the game.
"What is the consequence for an offending player who is not properly registered before the start of the game?

<i>Rule 1 | Section 12: Players and Substitutes | Article 1 – Registration</i>","The offending player shall be removed from the game until the score sheet has been corrected. Immediate substitution will be made, but the game shall not be delayed."
"Under what condition is a score by a non-registered player still legal?

<i>Rule 1 | Section 12: Players and Substitutes | Article 1 – Registration</i>","Any score made by a non-registered player is legal, provided the player is then registered on the score sheet."
"When may substitutes enter the field of play?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>",Substitutes may enter the field of play when the ball is dead and only at that time.
"Where must a player leaving the game go, in order?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","The player leaving the game shall proceed directly to the sideline on which their bench is located, and then to the team bench in the out-of-bounds area."
"Who controls substitutes, and what limit do they enforce after Team A breaks its huddle?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","The sideline officials (Down Judge and Line Judge) shall control the substitutes. As soon as possible after the ball is dead on a play, they observe their sidelines for possible substitutes until Team A breaks its huddle; then they raise their arms to shoulder level, after which no substitute shall enter the field for any reason—regardless of the number of players a team may have on the field."
"What makes a substitution proceeding intended to deceive the opponent illegal?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","The use of substitution proceedings, or alleged substitution proceedings to deceive the opponent is illegal."
"What is a “sleeper play,” and when is it illegal?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>",A “sleeper play” is defined as a pass play or kick play designed to deceive the opponent. It is illegal on the subsequent play if one or more Team A players or substitutes legally enter the field or leave the field.
"In the definition of a sleeper play, what remote-player behavior is described?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","It occurs when an A player remains at the sideline adjacent to their team bench area; often with the ball on the opposite side of the field, Team A lines up quickly, snaps the ball, and throws a forward pass or lateral to a remote A player."
"What plays are considered legal alternatives to a sleeper play in the rule’s definition?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","A running play, a pass play or kick play to another eligible A player, not in a remote area near their team bench sideline, is legal."
"If a substitute enters to the extent they can communicate with a teammate, what must they do for the next play?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>",They must remain on the field for the subsequent play.
"What penalties apply when substitution rules are violated due to illegal substitution proceedings and/or a sleeper play?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","Penalty: Team A 1.2D – L10 DR, 3D DG – L10 DR, 3D DNG-LB, PBD."
"What penalties apply if a substitute fails to remain on the field for the subsequent play after entering enough to communicate?

<i>Rule 1 | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","Penalty: Team A 1.2D – L10 DR, 3D DG-L10 DR, 3D DNG-LB PBD. Team B L10."
"How many players and/or substitutes may a team have on the field during a play?

<i>Rule 1 | Section 12: Players and Substitutes | Article 3 – Excess Number of Players</i>",It is illegal for a team to have more than 12 players and/or substitutes on the field during a play.
"What is the penalty for having too many players/substitutes on the field?

<i>Rule 1 | Section 12: Players and Substitutes | Article 3 – Excess Number of Players</i>","Penalty: Team A 1.2D-L10 DR, 3D DG-L10 DR, 3D DNG-LB PBD. Team B L10."
"Who is responsible for fielding the correct number of players?

<i>Rule 1 | Section 12: Players and Substitutes | Article 3 – Excess Number of Players</i>","Coaches, not officials, are responsible for fielding the correct number of players."
"During the game, who may legally occupy positions on the sidelines?

<i>Rule 1 | Section 13: Non Players | Article 1 – Sideline Privileges & Restrictions</i>","The field officials, the Downbox Official, the Yardstick Officials, the Time Keeper, and the Scorer."
"What may occupy a team bench area during the game, and what key restriction applies while play is in progress?

<i>Rule 1 | Section 13: Non Players | Article 1 – Sideline Privileges & Restrictions</i>","Only substitute players and other authorized non-playing team personnel (coaches, doctors, trainers, and equipment personnel) may occupy it; they must remain in close proximity to their bench and must not encroach on the sidelines or playing field while play is in progress."
"How far from the sideline must the team bench area be located (minimum and maximum)?

<i>Rule 1 | Section 13: Non Players | Article 1 – Sideline Privileges & Restrictions</i>",A minimum of 5 yards (5 metres) and a maximum of 10 yards (10 metres) from the sideline.
"What are the enclosure marking requirements for the bench area (width and distances from the sideline)?

<i>Rule 1 | Section 13: Non Players | Article 1 – Sideline Privileges & Restrictions</i>","The area is enclosed by a line 4 inches (10 cm) wide, located at least 2 yards (2 metres) minimum and 5 yards (5 metres) optimum from the sideline; there is also a line at each end of the bench 5 yards (5 metres) from the end."
"When may bench occupants leave the enclosed bench area during the game?

<i>Rule 1 | Section 13: Non Players | Article 1 – Sideline Privileges & Restrictions</i>","Except during legal substitution proceedings or by express permission of the Referee, occupants must remain within the enclosed area to keep the sideline clear for officials and coaches."
"What is the penalty for violations related to sideline/bench restrictions described in Article 1?

<i>Rule 1 | Section 13: Non Players | Article 1 – Sideline Privileges & Restrictions</i>","L10, no option, from the point where the ball would have been put in play if no foul had occurred."
"When is a sideline conference between coaches and players legal?

<i>Rule 1 | Section 13: Non Players | Article 2 – Time-Out Conferences</i>","During an official time out; and also whenever the clock is stopped and a significant time delay occurs (e.g., a measurement, injury, or TV commercial)."
"Under what circumstances is an unauthorized person prohibited from entering or reaching into the field?

<i>Rule 1 | Section 13: Non Players | Article 3 – Interference by Unauthorized Persons</i>","While play is in progress, the person shall not enter or reach into the field and/or interfere with a player of either team or with a loose ball."
"What happens if an unauthorized person interferes to act to the advantage of the team in possession?

<i>Rule 1 | Section 13: Non Players | Article 3 – Interference by Unauthorized Persons</i>","If it is obvious to the Referee that a score (such as a rouge or safety touch) would have been made, the score is awarded; otherwise L10 PBH."
"What is the penalty if an unauthorized person interferes to act to the advantage of the team not in possession?

<i>Rule 1 | Section 13: Non Players | Article 3 – Interference by Unauthorized Persons</i>","If it is obvious to the Referee that a touchdown would have been scored, or if the unauthorized person is a substitute, coach, trainer, or other occupant of the team bench, a touchdown is awarded; otherwise the non-offending team is awarded (1) half the distance to the goal line from PLS or PBD; (2) for illegal interference on a forward pass: Field of Play = half the distance to the goal line from PF; End zone = depending on the offense: against Team A, ball at the 1-yard line (unless a touchdown is awarded); against Team B, ball at the 20-yard line; and (3) 3 downs, regardless of time remaining (with the stated exceptions)."
"What result applies if an unauthorized person touches or kicks a loose ball?

<i>Rule 1 | Section 13: Non Players | Article 3 – Interference by Unauthorized Persons</i>","If it is obvious to the Referee that a score would have been made, the score is awarded. If the person is a substitute, coach, trainer, or other occupant of the team bench, the team penalized is half the distance to their goal line from PF; if the non-offending team was previously in possession or normally expecting to gain possession by receiving a scrimmage kick, it is awarded the ball and 3 additional downs regardless of time remaining (with the stated exceptions). If not associated with a team as described, the play is repeated at PLS, subject to team penalties applied at PLS."
"What is the consequence if the unauthorized person is a substitute, coach, trainer, or other occupant of a team bench (interference by unauthorized persons)?

<i>Rule 1 | Section 13: Non Players | Article 3 – Interference by Unauthorized Persons</i>",Disqualification from further participation in any capacity.
"During a stoppage in play for injury (or other reason), what may team personnel do and what must they not do while on the field?

<i>Rule 1 | Section 13: Non Players | Article 5 – Injuries</i>",Personnel may enter the field with the Referee’s permission to attend to the injured player or bring water; they may not undertake any coaching activities while on the field.
"Under what condition does the Referee need not permit attendants of both teams to enter the field?

<i>Rule 1 | Section 13: Non Players | Article 5 – Injuries</i>",When play has stopped for injury to a player of only 1 team.
"After a stoppage for a player injury or equipment repair, how many plays must that player sit out?

<i>Rule 1 | Section 13: Non Players | Article 5 – Injuries</i>","At least three plays for an injury, or at least one play for equipment repair."
"What is the penalty stated for violations related to the injury personnel rules?

<i>Rule 1 | Section 13: Non Players | Article 5 – Injuries</i>","L10, no option."
